PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,SPCD,SPGRPCD,SEEDLING_COUNT,TPA_UNADJ,IS_MAINTAINED_AREA,IS_PLANTED,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1852455,4,17,3,31,20123,12,1,972,41,3,224.8958473535,0,,1287853839290487,352769424489998,1287853833290487,1287853826290487,
1795839,4,17,3,89,20028,13,1,405,29,2,149.9305649023,0,,1287853980290487,352769435489998,1287853974290487,1287853966290487,
1795839,4,17,3,89,20028,13,1,6918,55,4,299.8611298046,0,,1287853981290487,352769435489998,1287853974290487,1287853966290487,
1857088,1,17,3,31,23521,13,1,974,41,3,224.8958473535,1,2,785698680290487,352769460489998,785698675290487,785698670290487,
1852440,4,17,3,31,20158,14,1,972,41,3,224.8958473535,0,2,942211328290487,352769489489998,942211322290487,942211316290487,
1852467,8,17,3,31,20098,11,1,6748,55,19,1424.340366572,0,,942211737290487,352769499489998,942211731290487,942211729290487,
1795882,4,17,3,89,20042,12,1,6918,55,4,299.8611298046,0,,942211803290487,352769505489998,942211798290487,942211795290487,
1795882,4,17,3,89,20042,14,1,6918,55,37,2773.7154506928,0,,942211805290487,352769505489998,942211800290487,942211795290487,
1916222,6,18,4,89,20048,13,1,763,43,1,74.9652824512,0,2,942231678290487,352769508489998,942231670290487,942231665290487,
1852474,4,17,3,31,20039,14,1,6918,55,10,749.6528245116,0,,942083338290487,352769554489998,942083327290487,942083320290487,
1797301,4,17,3,111,20105,11,1,6918,55,10,749.6528245116,0,,942082547290487,352769564489998,942082539290487,942082536290487,
1797301,4,17,3,111,20105,13,1,972,41,3,224.8958473535,0,,942082551290487,352769564489998,942082541290487,942082536290487,
1797301,4,17,3,111,20105,14,1,6918,55,40,2998.6112980463,0,,942082556290487,352769564489998,942082542290487,942082536290487,
1795832,4,17,3,89,20017,12,1,544,36,2,149.9305649023,0,,942084945290487,352769568489998,942084935290487,942084929290487,
1795845,4,17,3,89,20023,14,1,407,29,2,149.9305649023,0,,942084096290487,352769569489998,942084089290487,942084083290487,
1917873,4,18,4,73,20155,11,1,931,41,19,1424.340366572,0,,942083047290487,352769577489998,942083040290487,942083037290487,
1857031,1,17,3,31,23470,13,1,341,43,1,74.9652824512,1,2,785698242290487,352769591489998,785698237290487,785698231290487,
1857907,1,17,3,31,22182,12,1,462,41,2,149.9305649023,1,2,785697117290487,352769605489998,785697113290487,785697101290487,
1852352,4,17,3,31,20202,13,1,664,43,1,74.9652824512,1,2,785698874290487,352769616489998,785698863290487,785698859290487,
1796315,4,17,3,97,20064,12,1,742,37,81,6072.1878785437,0,2,785696164290487,352769631489998,785696157290487,785696152290487,
1796315,4,17,3,97,20064,13,1,742,37,26,1949.0973437301,0,2,785696165290487,352769631489998,785696158290487,785696152290487,
1796315,4,17,3,97,20064,14,1,742,37,2,149.9305649023,0,2,785696166290487,352769631489998,785696159290487,785696152290487,
1795861,4,17,3,89,20067,14,1,972,41,1,74.9652824512,0,,785697950290487,352769646489998,785697945290487,785697937290487,
1797320,4,17,3,111,20200,12,1,462,41,7,524.7569771581,0,,785694446290487,352769647489998,785694439290487,785694434290487,
1797328,4,17,3,111,20065,12,1,762,41,2,149.9305649023,0,2,785696287290487,352769648489998,785696274290487,785696269290487,
1797328,4,17,3,111,20065,14,1,762,41,4,299.8611298046,0,2,785696294290487,352769648489998,785696276290487,785696269290487,
1837449,4,17,3,197,20129,12,1,972,41,11,824.6181069627,1,2,707806932126144,352769703489998,707806923126144,707806919126144,
1853036,4,17,3,43,20013,12,1,922,41,1,74.9652824512,0,2,707807255126144,352769708489998,707807249126144,707807245126144,
1915883,4,18,4,127,20048,11,1,544,36,1,74.9652824512,0,,707805972126144,352769716489998,707805965126144,707805962126144,
1915883,4,18,4,127,20048,12,1,544,36,8,599.7222596093,0,,707805974126144,352769716489998,707805966126144,707805962126144,
1855673,1,17,3,31,22165,12,1,6918,55,1,74.9652824512,0,,491758529126144,352769743489998,491758519126144,491758515126144,
1852357,4,17,3,31,20116,12,1,541,36,4,299.8611298046,0,,491759044126144,352769758489998,491759037126144,491759034126144,
1852425,4,17,3,31,20183,12,1,500,43,1,74.9652824512,0,2,491759147126144,352769759489998,491759140126144,491759137126144,
1796301,4,17,3,97,20087,11,1,544,36,6,449.7916947069,0,2,491759378126144,352769767489998,491759371126144,491759369126144,
1852996,4,17,3,43,20048,12,1,6918,55,3,224.8958473535,0,2,491759516126144,352769770489998,491759508126144,491759505126144,
1837569,4,17,3,197,20029,11,1,6918,55,8,599.7222596093,0,2,491757616126144,352769789489998,491757609126144,491757607126144,
1857748,1,17,3,31,22022,12,1,320,31,5,374.8264122558,1,2,478151026489998,352769818489998,478151013489998,478151009489998,
1852402,4,17,3,31,20005,12,1,313,41,2,149.9305649023,0,2,478151527489998,352769834489998,478151515489998,478151511489998,
1796375,4,17,3,97,20011,12,2,6918,55,2,149.9305649023,0,2,478151673489998,352769839489998,478151660489998,478151656489998,
1796340,4,17,3,97,20080,13,1,544,36,2,149.9305649023,0,2,478151763489998,352769840489998,478151753489998,478151747489998,
1796340,4,17,3,97,20080,13,1,6918,55,2,149.9305649023,0,2,478151764489998,352769840489998,478151753489998,478151747489998,
1796340,4,17,3,97,20080,14,1,6918,55,2,149.9305649023,0,2,478151765489998,352769840489998,478151754489998,478151747489998,
1852441,4,17,3,31,20087,13,1,5154,55,1,74.9652824512,1,2,478152029489998,352769847489998,478152024489998,478151980489998,
1852420,4,17,3,31,20177,11,1,68,9,2,149.9305649023,0,2,478152114489998,352769849489998,478152106489998,478152104489998,
