STATECD,VALUE,MEANING,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
23,5,Piscataquis,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
23,6,Capitol Region,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
23,7,Somerset,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
23,8,Casco Bay,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
23,9,Western Maine,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
24,2,North Central,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
24,3,Southern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
24,4,Lower Eastern Shore,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
24,5,Western,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
25,1,State,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
26,1,Eastern Upper Peninsula,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
26,2,Western Upper Peninsula,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
26,3,Northern Lower Peninsula,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
26,4,Southern Lower Peninsula,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
27,1,Aspen-Birch,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
27,2,Northern Pine,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
