DB_VERSION,DESCRIPTION,START_DATE,RETIRED_DATE,IS_ACTIVE
9.0.01,THIS IS RELEASE 01 OF NIMS VERSION 9.0 PROD,2021-07-16 00:00:00,2022-06-10 00:00:00,N
9.0.02,THIS IS RELEASE 02 OF NIMS VERSION 9.0 PROD,2022-06-10 00:00:00,2023-06-28 00:00:00,N
4.0.00,FIADB Version 4.0,2009-02-20 00:00:00,2010-03-05 00:00:00,N
4.0.07,THIS IS RELEASE 07 OF FIADB VERSION 4.0 PROD,2010-03-05 00:00:00,2010-03-05 00:00:00,N
4.0.08,THIS IS RELEASE 08 OF FIADB VERSION 4.0 PROD,2010-03-05 00:00:00,2010-09-14 00:00:00,N
4.0.09,THIS IS RELEASE 09 OF FIADB VERSION 4.0 PROD,2010-09-14 00:00:00,2010-09-14 00:00:00,N
4.0.10,THIS IS RELEASE 10 OF FIADB VERSION 4.0 PROD,2010-09-14 00:00:00,2010-09-14 00:00:00,N
4.0.11,THIS IS RELEASE 11 OF FIADB VERSION 4.0 PROD,2010-09-14 00:00:00,2011-01-06 00:00:00,N
4.0.12,THIS IS RELEASE 12 OF FIADB VERSION 4.0 PROD,2011-01-06 00:00:00,2011-11-23 00:00:00,N
5.1.00,THIS IS FIADB VERSION 5.1 PROD,2011-11-23 00:00:00,2012-02-27 00:00:00,N
5.1.01,THIS IS RELEASE 01 OF FIADB VERSION 5.1 PROD,2012-02-27 00:00:00,2012-05-23 00:00:00,N
5.1.02,THIS IS RELEASE 02 OF FIADB VERSION 5.1 PROD,2012-05-23 00:00:00,2012-10-05 00:00:00,N
5.1.03,THIS IS RELEASE 03 of FIADB VERSION 5.1 PROD,2012-10-05 00:00:00,2012-11-15 00:00:00,N
5.1.04,THIS IS RELEASE 04 of FIADB VERSION 5.1 PROD,2012-11-15 00:00:00,2013-03-01 00:00:00,N
5.1.05,THIS IS RELEASE 05 of FIADB VERSION 5.1 PROD,2013-03-01 00:00:00,2013-06-24 00:00:00,N
5.1.06,THIS IS RELEASE 06 of FIADB VERSION 5.1 PROD,2013-06-24 00:00:00,2013-09-24 00:00:00,N
5.1.07,THIS IS RELEASE 07 of FIADB VERSION 5.1 PROD,2013-09-24 00:00:00,2014-02-14 00:00:00,N
5.1.08,THIS IS RELEASE 08 of FIADB VERSION 5.1 PROD,2014-02-14 00:00:00,2014-04-24 00:00:00,N
6.0.00,THIS IS FIADB VERSION 6.0 PROD,2014-04-24 00:00:00,2014-09-20 00:00:00,N
6.0.01,THIS IS RELEASE 01 OF FIADB VERSION 6.0 PROD,2014-09-20 00:00:00,2015-05-08 00:00:00,N
6.0.02,THIS IS RELEASE 02 OF FIADB VERSION 6.0 PROD,2015-05-08 00:00:00,2016-06-10 00:00:00,N
6.1.00,THIS IS FIADB VERSION 6.1 PROD,2016-06-10 00:00:00,2016-10-19 00:00:00,N
6.1.01,THIS IS RELEASES 01 of FIADB VERSION 6.1 PROD,2016-10-19 00:00:00,2017-03-03 00:00:00,N
7.0.00,THIS IS FIADB VERSION 7.0 PROD,2017-03-03 00:00:00,2018-02-23 00:00:00,N
7.0.01,THIS IS RELEASE 01 OF FIADB VERSION 7.0 PROD,2018-02-23 00:00:00,2018-05-11 00:00:00,N
7.2.00,THIS IS FIADB VERSION 7.2 PROD,2018-05-11 00:00:00,2018-11-28 00:00:00,N
8.0.00,THIS IS FIADB VERSION 8.0 PROD,2018-11-28 00:00:00,2019-07-05 00:00:00,N
8.0.01,THIS IS RELEASE 01 FIADB VERSION 8.0 PROD,2019-07-05 00:00:00,2019-12-13 00:00:00,N
8.0.02,THIS IS RELEASE 02 OF FIADB VERSION 8.0 PROD,2019-12-13 00:00:00,2020-06-10 00:00:00,N
8.0.03,THIS IS RELEASE 03 OF FIADB VERSION 8.0 PROD,2020-06-10 00:00:00,2021-04-30 00:00:00,N
9.0.00,THIS IS FIADB VERSION 9.0 PROD,2021-04-30 00:00:00,2021-07-16 00:00:00,N
9.0.01,THIS IS FIADB VERSION 9.0 PROD,2021-07-16 00:00:00,2022-06-10 00:00:00,N
9.0.02,THIS IS RELEASE 02 OF FIADB VERSION 9.0 PROD,2022-06-10 00:00:00,2023-06-28 00:00:00,N
9.1.00,THIS IS RELEASE OF NIMS VERSION 9.1 PROD,2023-06-28 00:00:00,2024-01-23 00:00:00,N
9.1.00,THIS IS FIADB VERSION 9.1 PROD,2023-06-28 00:00:00,2024-01-23 00:00:00,N
10.0.0,"This release establishes the centralized spatial reference schema as a distinct FIA application under managment of the UNIMS team.  The focus of this release is the introduction of metadata tables for FIA spatial reference data.  Also, this release release includes new/updated spatial reference tables for Congressional Districts and 2020 Census.",2023-05-30 00:00:00,2024-05-10 00:00:00,N
1.6.2,This release is targeted at quick-response modifications for NSVB and FICS packages along with other minor changes and bug-fixes.,2023-05-12 00:00:00,2023-06-08 00:00:00,N
1.0.1,This release updates the FICS_TREE_ESTIMATE to account for changes in REF table column names,2023-05-12 00:00:00,2024-04-26 00:00:00,N
1.6.3,Repairs to packages that reference objects in FS_NIMS that were dropped in NIMS release 1.9.1.00.,2023-06-08 00:00:00,2024-01-12 00:00:00,N
1.17.00,THIS IS RELEASE 01 OF TPO VERSION 1.0.17 PROD. This is the first release where objects are registered.,2023-11-16 00:00:00,2024-02-22 00:00:00,N
1.18.00,Centralized Access Control (AC) objects installed and redundant objects dropped,2024-02-22 00:00:00,9999-12-31 00:00:00,Y
5.4.9,Centralized Access Control (AC) objects installed and redundant objects dropped,2024-03-13 00:00:00,2024-08-20 00:00:00,N
1.0.2,This release updates the FICS_TREE_ESTIMATE to adjust the cr_prop deduction for non-NSVB drybio_foliage,2024-04-26 00:00:00,9999-12-31 00:00:00,Y
10.0.1,"Access Control objects added or updated in support of FIA Authority to Operate. Also, includes minor alterations to conform more closely with UNIMS standards.",2024-05-10 00:00:00,9999-12-31 00:00:00,Y
1.6.6,This release focuses on upgrades to iTree support for new state-level and mothertree outputs from the iTree.  It also includes bug fixes and enhancements for compilations and sample selection.,2024-09-24 00:00:00,2024-10-25 00:00:00,N
9.3.00,THIS IS RELEASE OF NIMS VERSION 9.3 PROD,2024-09-01 00:00:00,2025-03-21 00:00:00,N
9.3.00,THIS IS FIADB VERSION 9.3 PROD,2024-09-01 00:00:00,2025-03-21 00:00:00,N
9.3.01,THIS IS RELEASE 01 OF FIADB VERSION 9.3 PROD,2025-03-21 00:00:00,9999-12-31 00:00:00,Y
9.3.01,THIS IS RELEASE 01 OF NIMS VERSION 9.3 PROD,2025-03-21 00:00:00,9999-12-31 00:00:00,Y
1.6.4,"This release transitions REF_SPECIES from stand-alone table to TAXA tables, deploys new STG tables for TAXA management, new tables for FIA tree species and inavsive species managment, improvements to ID reporting views, improvements to UNIMS NSVB implementation (through FICS), New mother tree compilation operations (mother tree length, weighted compacted crown ratio, and crown base length), dropped all PCA tables in UNIMS, plus various other small improvements and corrections",2024-01-12 00:00:00,2024-05-10 00:00:00,N
1.0.00,Initial deployemnt of tables structure for NWOS,2018-12-19 00:00:00,2024-03-04 00:00:00,N
1.1.00,Access Control objects added in support of FIA Authority to Operate,2024-03-04 00:00:00,9999-12-31 00:00:00,Y
9.2.00,THIS IS RELEASE OF NIMS VERSION 9.2 PROD,2024-01-23 00:00:00,2024-09-01 00:00:00,N
9.2.00,THIS IS FIADB VERSION 9.2 PROD,2024-01-23 00:00:00,2024-09-01 00:00:00,N
5.5.5,This release improves support for NOMS reconciliation workflows.,2024-08-20 00:00:00,9999-12-31 00:00:00,Y
1.6.7,This is a micro-release to deploy the tree status code changes for the 9.3 field guide and new change data tracking for inventory data.,2024-10-25 00:00:00,2025-04-18 00:00:00,N
1.6.8,This release deploys the phase-1 implementation of Urban GRM. It also includes bug fixes and other minor enhancements.,2025-04-18 00:00:00,9999-12-31 00:00:00,Y
